index,tsne1,tsne2,tsne_clusters,filename
114,3.3091936,-0.887773,4,split_203_19700101_122640_short.WAV
115,2.7745624,2.3599854,9,split_204_19700101_122640_short.WAV
116,3.015507,1.9633076,9,split_205_19700101_122640_short.WAV
117,3.7142754,0.42105612,4,split_206_19700101_122640_short.WAV
118,3.5191326,-0.10704114,4,split_207_19700101_122640_short.WAV
119,3.3321416,-0.7958933,4,split_208_19700101_122640_short.WAV
120,3.195675,0.58901346,4,split_209_19700101_122640_short.WAV
121,-11.77079,-5.672019,3,split_20_19700101_122640_short.WAV
122,3.4166598,0.003974845,4,split_210_19700101_122640_short.WAV
123,3.3852453,-0.15640372,4,split_211_19700101_122640_short.WAV
124,3.2438517,0.3307837,4,split_212_19700101_122640_short.WAV
125,3.042752,0.428143,4,split_213_19700101_122640_short.WAV
126,2.634103,1.6503167,9,split_214_19700101_122640_short.WAV
127,2.654964,1.9631324,9,split_215_19700101_122640_short.WAV
128,2.6968334,2.097675,9,split_216_19700101_122640_short.WAV
129,2.8654222,1.2044561,9,split_217_19700101_122640_short.WAV
130,2.6620293,1.4954752,9,split_218_19700101_122640_short.WAV
131,2.9397995,-0.26359168,4,split_219_19700101_122640_short.WAV
132,-12.201285,-5.701436,3,split_21_19700101_122640_short.WAV
133,4.0944977,-0.995529,4,split_220_19700101_122640_short.WAV
134,3.5916405,2.504627,9,split_221_19700101_122640_short.WAV
135,3.3822906,2.0578868,9,split_222_19700101_122640_short.WAV
136,3.813429,0.96614826,9,split_223_19700101_122640_short.WAV
137,3.1926281,2.4473739,9,split_224_19700101_122640_short.WAV
138,2.897337,-0.3329597,4,split_225_19700101_122640_short.WAV
139,3.4946005,-1.0299575,4,split_226_19700101_122640_short.WAV
140,2.6523354,-3.3043375,6,split_227_19700101_122640_short.WAV
141,3.5657954,-3.2520425,6,split_228_19700101_122640_short.WAV
142,3.0785487,-4.0790687,6,split_229_19700101_122640_short.WAV
143,-12.218495,-5.881282,3,split_22_19700101_122640_short.WAV
144,2.8840976,1.9735413,9,split_230_19700101_122640_short.WAV
145,2.7016888,2.762477,9,split_231_19700101_122640_short.WAV
146,3.3116035,1.3558271,9,split_232_19700101_122640_short.WAV
147,3.9376116,-0.5507338,4,split_233_19700101_122640_short.WAV
148,3.9852965,1.151064,9,split_234_19700101_122640_short.WAV
149,2.9379456,-0.8568973,4,split_235_19700101_122640_short.WAV
150,4.2473173,-0.9915511,4,split_236_19700101_122640_short.WAV
151,3.6988358,-1.0033706,4,split_237_19700101_122640_short.WAV
152,3.3483403,-0.64099956,4,split_238_19700101_122640_short.WAV
153,3.2494745,1.5666542,9,split_239_19700101_122640_short.WAV
154,-11.984698,-5.869325,3,split_23_19700101_122640_short.WAV
155,3.0692997,0.25532126,4,split_240_19700101_122640_short.WAV
156,3.6126487,-0.9616143,4,split_241_19700101_122640_short.WAV
157,3.014686,0.68935484,4,split_242_19700101_122640_short.WAV
158,3.4016154,-0.23444186,4,split_243_19700101_122640_short.WAV
159,4.408002,2.3975368,9,split_244_19700101_122640_short.WAV
160,4.983273,-0.5255952,0,split_245_19700101_122640_short.WAV
161,6.4976754,1.9358286,0,split_246_19700101_122640_short.WAV
162,4.288395,2.0597084,9,split_247_19700101_122640_short.WAV
163,6.274121,1.2019118,0,split_248_19700101_122640_short.WAV
164,5.45196,-1.008422,0,split_249_19700101_122640_short.WAV
165,-11.683431,-5.9260454,3,split_24_19700101_122640_short.WAV
166,6.1704574,0.8818174,0,split_250_19700101_122640_short.WAV
167,6.1462593,-0.33148044,0,split_251_19700101_122640_short.WAV
168,5.75494,0.3128187,0,split_252_19700101_122640_short.WAV
169,6.3837667,0.95480394,0,split_253_19700101_122640_short.WAV
170,4.978751,-1.5532391,6,split_254_19700101_122640_short.WAV
171,5.90208,-2.3363934,6,split_255_19700101_122640_short.WAV
172,3.5184374,0.29552492,4,split_256_19700101_122640_short.WAV
173,4.1857805,0.839924,9,split_257_19700101_122640_short.WAV
174,6.19374,-0.1423147,0,split_258_19700101_122640_short.WAV
175,5.844489,0.31543094,0,split_259_19700101_122640_short.WAV
176,-11.581874,-6.198781,3,split_25_19700101_122640_short.WAV
177,3.553593,-0.51438564,4,split_260_19700101_122640_short.WAV
178,3.6999102,-1.8612859,4,split_261_19700101_122640_short.WAV
179,4.7791615,0.8703598,0,split_262_19700101_122640_short.WAV
180,4.498768,-1.0817212,4,split_263_19700101_122640_short.WAV
181,2.7262459,-1.6706733,4,split_264_19700101_122640_short.WAV
182,2.3709793,0.38177475,4,split_265_19700101_122640_short.WAV
183,3.8369455,-1.3493875,4,split_266_19700101_122640_short.WAV
184,2.2296667,-1.3184468,4,split_267_19700101_122640_short.WAV
185,4.2703543,-1.9938761,6,split_268_19700101_122640_short.WAV
186,4.4281597,1.7646934,9,split_269_19700101_122640_short.WAV
187,-11.865718,-5.559557,3,split_26_19700101_122640_short.WAV
188,5.0979223,0.25499037,0,split_270_19700101_122640_short.WAV
189,6.1879086,0.7483795,0,split_271_19700101_122640_short.WAV
190,6.0321918,0.9892372,0,split_272_19700101_122640_short.WAV
191,5.2770834,1.111201,0,split_273_19700101_122640_short.WAV
192,5.4565783,-0.24786742,0,split_274_19700101_122640_short.WAV
193,7.0503273,2.547731,0,split_275_19700101_122640_short.WAV
194,5.2413864,1.3062309,0,split_276_19700101_122640_short.WAV
195,3.9347687,-0.011663955,4,split_277_19700101_122640_short.WAV
196,3.704593,0.6692356,4,split_278_19700101_122640_short.WAV
197,3.172736,2.0059028,9,split_279_19700101_122640_short.WAV
198,-11.515564,-5.4112806,3,split_27_19700101_122640_short.WAV
199,3.1771545,1.1467048,9,split_280_19700101_122640_short.WAV
200,2.957717,1.5262431,9,split_281_19700101_122640_short.WAV
201,3.6428015,-0.8111532,4,split_282_19700101_122640_short.WAV
202,3.1453204,1.8062348,9,split_283_19700101_122640_short.WAV
203,3.6053202,2.0140505,9,split_284_19700101_122640_short.WAV
204,4.2525926,-1.3894488,4,split_285_19700101_122640_short.WAV
205,3.7299027,1.1827633,9,split_286_19700101_122640_short.WAV
206,4.5804334,-0.5192458,4,split_287_19700101_122640_short.WAV
207,4.2577972,0.4499329,4,split_288_19700101_122640_short.WAV
208,3.1168017,3.0699837,9,split_289_19700101_122640_short.WAV
209,-10.981832,-5.568008,3,split_28_19700101_122640_short.WAV
210,4.317747,-0.45398474,4,split_290_19700101_122640_short.WAV
211,4.164409,-1.0013939,4,split_291_19700101_122640_short.WAV
212,3.073518,2.7139575,9,split_292_19700101_122640_short.WAV
213,4.1253877,-0.28338996,4,split_293_19700101_122640_short.WAV
214,2.4750478,3.6598022,9,split_294_19700101_122640_short.WAV
215,4.2275457,-0.06525064,4,split_295_19700101_122640_short.WAV
216,-9.267897,-3.664402,3,split_296_19700101_122640_short.WAV
217,-11.996196,-4.0304184,3,split_297_19700101_122640_short.WAV
218,-12.065275,-4.106303,3,split_298_19700101_122640_short.WAV
219,4.5664115,-4.404594,6,split_299_19700101_122640_short.WAV
220,-11.162248,-5.77941,3,split_29_19700101_122640_short.WAV
221,-12.694473,-5.523459,3,split_2_19700101_122640_short.WAV
222,4.8710084,-4.505734,6,split_300_19700101_122640_short.WAV
223,5.0168777,-3.6380348,6,split_301_19700101_122640_short.WAV
224,2.985187,4.156166,9,split_302_19700101_122640_short.WAV
225,7.958619,0.937558,0,split_303_19700101_122640_short.WAV
226,7.961227,0.9047334,0,split_304_19700101_122640_short.WAV
227,4.7837486,2.074388,9,split_305_19700101_122640_short.WAV
228,7.097264,0.46183443,0,split_306_19700101_122640_short.WAV
229,9.447105,0.4026306,0,split_307_19700101_122640_short.WAV
230,9.252833,0.49239743,0,split_308_19700101_122640_short.WAV
231,8.984653,0.59655684,0,split_309_19700101_122640_short.WAV
232,-11.698918,-5.448169,3,split_30_19700101_122640_short.WAV
233,8.764846,0.80553186,0,split_310_19700101_122640_short.WAV
234,8.788147,0.6898446,0,split_311_19700101_122640_short.WAV
235,8.356075,0.85100085,0,split_312_19700101_122640_short.WAV
236,8.891439,0.64246976,0,split_313_19700101_122640_short.WAV
237,8.922595,0.67759585,0,split_314_19700101_122640_short.WAV
238,8.950272,0.6252239,0,split_315_19700101_122640_short.WAV
239,9.010688,0.58651525,0,split_316_19700101_122640_short.WAV
240,8.960828,0.67022854,0,split_317_19700101_122640_short.WAV
241,8.030196,1.7524906,0,split_318_19700101_122640_short.WAV
242,7.8522563,1.6494738,0,split_319_19700101_122640_short.WAV
243,-12.065906,-5.1895123,3,split_31_19700101_122640_short.WAV
244,7.3154535,1.498208,0,split_320_19700101_122640_short.WAV
245,7.5400505,1.5556693,0,split_321_19700101_122640_short.WAV
246,6.612264,2.217835,0,split_322_19700101_122640_short.WAV
247,7.240072,1.8325386,0,split_323_19700101_122640_short.WAV
248,7.3912034,3.5838573,5,split_324_19700101_122640_short.WAV
249,5.6081576,0.8680692,0,split_325_19700101_122640_short.WAV
250,5.767991,1.1694672,0,split_326_19700101_122640_short.WAV
251,5.886407,2.2069392,0,split_327_19700101_122640_short.WAV
252,5.446049,-0.87099564,0,split_328_19700101_122640_short.WAV
253,5.603494,0.31564382,0,split_329_19700101_122640_short.WAV
254,-12.130291,-5.1870356,3,split_32_19700101_122640_short.WAV
255,3.4043393,-0.1855434,4,split_330_19700101_122640_short.WAV
256,2.8291504,2.847992,9,split_331_19700101_122640_short.WAV
257,3.7080657,1.7818139,9,split_332_19700101_122640_short.WAV
258,4.8202214,3.1059127,9,split_333_19700101_122640_short.WAV
259,7.814879,4.198212,5,split_334_19700101_122640_short.WAV
260,8.468618,3.7783523,5,split_335_19700101_122640_short.WAV
261,8.988497,4.36898,5,split_336_19700101_122640_short.WAV
262,9.424022,4.852209,5,split_337_19700101_122640_short.WAV
263,7.8742537,5.8783355,5,split_338_19700101_122640_short.WAV
264,6.5843353,1.7603921,0,split_339_19700101_122640_short.WAV
265,-12.210347,-5.355324,3,split_33_19700101_122640_short.WAV
266,4.070913,-0.17404412,4,split_340_19700101_122640_short.WAV
267,2.2940354,1.8517919,9,split_341_19700101_122640_short.WAV
268,4.2164116,0.74992275,9,split_342_19700101_122640_short.WAV
269,4.6943226,0.25161615,0,split_343_19700101_122640_short.WAV
270,5.30844,0.31907696,0,split_344_19700101_122640_short.WAV
271,6.757685,2.863737,0,split_345_19700101_122640_short.WAV
272,5.380982,4.2241106,9,split_346_19700101_122640_short.WAV
273,8.297258,5.8551073,5,split_347_19700101_122640_short.WAV
274,9.082023,5.7523503,5,split_348_19700101_122640_short.WAV
275,-8.809492,-3.4623122,3,split_349_19700101_122640_short.WAV
276,-12.129972,-6.12237,3,split_34_19700101_122640_short.WAV
277,9.460942,5.806575,5,split_350_19700101_122640_short.WAV
278,9.597419,5.8044014,5,split_351_19700101_122640_short.WAV
279,9.643515,5.2813716,5,split_352_19700101_122640_short.WAV
280,9.874332,5.7452307,5,split_353_19700101_122640_short.WAV
281,8.64961,6.4660444,5,split_354_19700101_122640_short.WAV
282,9.294049,6.040617,5,split_355_19700101_122640_short.WAV
283,8.84558,5.90041,5,split_356_19700101_122640_short.WAV
284,8.981794,6.2062254,5,split_357_19700101_122640_short.WAV
285,9.040602,5.602476,5,split_358_19700101_122640_short.WAV
286,9.66904,5.4804173,5,split_359_19700101_122640_short.WAV
287,-12.06471,-6.216281,3,split_35_19700101_122640_short.WAV
288,6.9682918,5.774028,5,split_360_19700101_122640_short.WAV
289,5.7434235,2.8628416,9,split_361_19700101_122640_short.WAV
290,5.4165397,3.595537,9,split_362_19700101_122640_short.WAV
291,5.6349597,3.1036735,9,split_363_19700101_122640_short.WAV
292,5.549253,3.593551,9,split_364_19700101_122640_short.WAV
293,5.931618,2.114246,0,split_365_19700101_122640_short.WAV
294,5.9169436,-0.6296943,0,split_366_19700101_122640_short.WAV
295,5.1228614,-4.680776,6,split_367_19700101_122640_short.WAV
296,0.31090477,3.2662702,9,split_368_19700101_122640_short.WAV
297,4.635939,-4.0425863,6,split_369_19700101_122640_short.WAV
298,-11.73958,-5.764032,3,split_36_19700101_122640_short.WAV
299,5.9323688,-1.5093267,0,split_370_19700101_122640_short.WAV
300,5.680425,0.5267163,0,split_371_19700101_122640_short.WAV
301,4.5924053,3.4141855,9,split_372_19700101_122640_short.WAV
302,1.653952,1.7359153,9,split_373_19700101_122640_short.WAV
303,2.2611516,-0.825133,4,split_374_19700101_122640_short.WAV
304,2.2916641,-1.1340375,4,split_375_19700101_122640_short.WAV
305,2.7118497,-1.9624498,4,split_376_19700101_122640_short.WAV
306,2.4563673,-0.35077938,4,split_377_19700101_122640_short.WAV
307,2.0013814,0.30423826,4,split_378_19700101_122640_short.WAV
308,2.9265556,-0.26008904,4,split_379_19700101_122640_short.WAV
309,-11.743202,-5.903202,3,split_37_19700101_122640_short.WAV
310,2.7307014,0.9133553,4,split_380_19700101_122640_short.WAV
311,2.7522633,3.0391464,9,split_381_19700101_122640_short.WAV
312,2.5582387,3.5824203,9,split_382_19700101_122640_short.WAV
313,3.5544224,3.7460566,9,split_383_19700101_122640_short.WAV
314,5.7462707,1.6215817,0,split_384_19700101_122640_short.WAV
315,5.72661,1.7150197,0,split_385_19700101_122640_short.WAV
316,4.6168246,0.25805306,0,split_386_19700101_122640_short.WAV
317,3.5008154,1.9711338,9,split_387_19700101_122640_short.WAV
318,2.9504647,0.4798827,4,split_388_19700101_122640_short.WAV
319,2.3698673,2.2781425,9,split_389_19700101_122640_short.WAV
320,-11.559492,-5.881915,3,split_38_19700101_122640_short.WAV
321,2.0475965,3.2935965,9,split_390_19700101_122640_short.WAV
322,2.6379027,-0.5243337,4,split_391_19700101_122640_short.WAV
323,2.5452335,0.55822104,4,split_392_19700101_122640_short.WAV
324,2.5974119,0.012475919,4,split_393_19700101_122640_short.WAV
325,2.276768,2.6692033,9,split_394_19700101_122640_short.WAV
326,2.4480352,2.8170745,9,split_395_19700101_122640_short.WAV
327,3.52252,2.9685197,9,split_396_19700101_122640_short.WAV
328,3.448673,2.5646625,9,split_397_19700101_122640_short.WAV
329,2.1964977,2.519454,9,split_398_19700101_122640_short.WAV
